index	id	title	chapter	family	subfamily	description_blocks	description_chars	description
27	bestiaire-v15-agent-d-asset-recovery-corporatif	Agent d’Asset Recovery corporatif	1.1 PNJ Réalité	Corporations		1	285	Les corporations financent véhicules, augmentations, prototypes, logiciels et personnels sous contrat. Quand un actif disparaît, une équipe de récupération cherche d'abord à le reprendre intact : retrouver, isoler, saisir et sortir la cible avant que le contentieux ne devienne public.
28	bestiaire-v15-patrouilleur-laus	Patrouilleur LAUS	1.1 PNJ Réalité	Gouvernement et LAUS		1	326	Le patrouilleur LAUS représente la présence quotidienne de l'État dans Los Angeles : contrôle, intervention, arrestation et première réponse aux incidents armés. Il n'est pas conçu comme un commando, mais il possède communications, procédures et renforts ; l'affronter signifie rarement ne combattre que l'individu devant soi.
29	bestiaire-v15-enqueteur-laus-cbii-local	Enquêteur LAUS / CBII local	1.1 PNJ Réalité	Gouvernement et LAUS		1	282	L'enquêteur travaille sur les traces, les contradictions et les relations entre événements. Moins protégé qu'une unité d'intervention, il est beaucoup plus dangereux lorsque les PJ ont laissé derrière eux témoins, données, douilles, comptes ou habitudes qu'il peut relier entre eux.
30	bestiaire-v15-unite-d-intervention-laus	Unité d’intervention LAUS	1.1 PNJ Réalité	Gouvernement et LAUS		1	308	Lorsqu'une situation dépasse la patrouille, les unités d'intervention progressent en équipe avec protections lourdes, armes adaptées et discipline de secteur. Leur objectif n'est pas de gagner un duel spectaculaire, mais d'isoler, contenir et neutraliser une menace en réduisant les angles dont elle dispose.
31	bestiaire-v15-agent-operationnel-du-cbii	Agent opérationnel du CBII	1.1 PNJ Réalité	Gouvernement et LAUS		1	327	Le CBII traite crime majeur, contre-espionnage, terrorisme, grandes enquêtes corporatives et dossiers mafieux. L'agent opérationnel est l'enquêteur que l'on déploie lorsque le dossier peut basculer sur le terrain : il sait préserver une scène, interroger, suivre une cible et survivre jusqu'à l'arrivée d'une unité plus lourde.
32	bestiaire-v15-agent-cpp-anti-contrebande	Agent CPP anti-contrebande	1.1 PNJ Réalité	Gouvernement et LAUS		1	330	Le CPP s'occupe des produits prohibés et des trafics spécialisés : armes, drogues chimiques ou numériques, agents biologiques et augmentations militaires interdites. Ses agents de terrain savent reconnaître un chargement dangereux et entrer dans un entrepôt où le simple fait de tirer au mauvais endroit peut empirer la situation.
33	bestiaire-v15-inspecteur-du-cbac	Inspecteur du CBAC	1.1 PNJ Réalité	Gouvernement et LAUS		1	320	Le CBAC contrôle abus de pouvoir, corruption et comportement des forces publiques comme des sécurités corporatives. Un inspecteur peut être physiquement moins impressionnant qu'une unité d'intervention tout en constituant une menace majeure pour quiconque dépend d'un badge, d'un contrat ou d'une chaîne de commandement.
34	bestiaire-v15-intervenant-stab	Intervenant STAB	1.1 PNJ Réalité	Gouvernement et LAUS		1	287	Le STAB intervient lorsque la technologie devient elle-même la menace : laboratoire instable, machine autonome, prototype interdit ou infrastructure dont la défaillance peut tuer un quartier. Ses spécialistes combinent protection, neutralisation EMP et compétences d'ingénierie de crise.
35	bestiaire-v15-agent-cchs-de-confinement	Agent CCHS de confinement	1.1 PNJ Réalité	Gouvernement et LAUS		1	276	Le CCHS surveille épidémies, risques biologiques, santé mentale collective et problèmes liés aux augmentations. L'agent de confinement est formé à fermer une zone, prélever sans contaminer et maintenir des civils en quarantaine pendant que les spécialistes cherchent la cause.
36	bestiaire-v15-ranger-du-nrmd	Ranger du NRMD	1.1 PNJ Réalité	Gouvernement et LAUS		1	307	Le NRMD surveille énergie, matières premières, biodiversité et exploitation des ressources. Ses rangers travaillent loin des centres urbains, inspectent des sites industriels isolés et poursuivent contrebandiers, braconniers ou équipes qui préfèrent que personne ne regarde ce qu'elles extraient réellement.
37	bestiaire-v15-inspecteur-csco-de-terrain	Inspecteur CSCO de terrain	1.1 PNJ Réalité	Gouvernement et LAUS		1	290	Le CSCO contrôle les standards corporatifs et réalise des inspections parfois inopinées. Ses agents affrontent moins souvent les tirs que les portes verrouillées, les services juridiques et les responsables qui espèrent transformer une infraction claire en débat administratif interminable.
38	bestiaire-v15-soldat-californien	Soldat californien	1.1 PNJ Réalité	Forces armées		1	305	Le soldat professionnel est entraîné à fonctionner au sein d'une unité, sous ordre et avec un soutien logistique. Pris seul, il reste humain ; en section, avec communications, couverture et feu coordonné, il devient une menace beaucoup plus importante que ne le suggère un simple bloc de caractéristiques.
39	bestiaire-v15-operateur-des-forces-speciales	Opérateur des forces spéciales	1.1 PNJ Réalité	Forces armées		1	330	Les forces spéciales concentrent sélection, expérience, équipement et entraînement dans de petites équipes capables d'agir loin d'un soutien immédiat. Elles ne sont pas surnaturelles, mais elles sont précisément le genre d'adversaires qui rappellent qu'une préparation humaine de très haut niveau peut tuer presque n'importe quoi.
40	bestiaire-v15-deathrunner-merc	Deathrunner / Merc	1.1 PNJ Réalité	Crawlers		1	282	Les Deathrunners vivent de contrats dangereux, de récupération, d'escorte ou de combat. Leur diversité est immense, mais ils partagent souvent la capacité à évaluer rapidement une situation et à décider si le paiement, la réputation ou la survie justifient de continuer à se battre.
41	bestiaire-v15-neurodiver-crawler	Neurodiver Crawler	1.1 PNJ Réalité	Crawlers		1	286	Le Neurodiver Crawler se déplace entre réseaux, sécurités et données avec moins de soutien qu'un CyberCorpo, mais souvent plus de liberté. Il survit grâce à ses outils, ses habitudes et ses contacts ; sur le terrain, il transforme l'environnement connecté en deuxième champ de bataille.
42	bestiaire-v15-meditech-crawler	Meditech Crawler	1.1 PNJ Réalité	Crawlers		1	314	Le Meditech soigne là où les infrastructures classiques n'arrivent pas : safehouses, convois, squats, cliniques clandestines et scènes encore chaudes. Sa valeur tient moins à sa puissance de feu qu'à sa capacité à empêcher une blessure de devenir un décès ou une augmentation endommagée de devenir une catastrophe.
43	bestiaire-v15-gundriver	Gundriver	1.1 PNJ Réalité	Crawlers		1	300	Le Gundriver est conducteur, convoyeur et parfois contrebandier. Son véritable équipement est son véhicule, qu'il connaît assez bien pour utiliser chaque accélération, angle mort et sortie possible. À pied il reste un professionnel correct ; au volant, il peut dicter toute la géographie d'une scène.
44	bestiaire-v15-fixer-crawler	Fixer Crawler	1.1 PNJ Réalité	Crawlers		1	300	Le fixer transforme la réputation et les contacts en infrastructure. Il trouve un employeur, une clinique, une arme, un véhicule, un faux document ou simplement quelqu'un qui acceptera de décrocher son téléphone. Sa survie dépend de sa capacité à ne pas promettre ce qu'il ne peut réellement obtenir.
45	bestiaire-v15-recuperateur-salvager	Récupérateur / Salvager	1.1 PNJ Réalité	Crawlers		1	324	Le récupérateur explore ateliers fermés, carcasses, zones de chantier, bâtiments abandonnés et champs de bataille économiques pour en sortir ce qui possède encore une valeur. Il doit reconnaître rapidement ce qui est utile, ce qui va exploser et ce qui appartient encore à quelqu'un d'assez puissant pour venir le reprendre.
46	bestiaire-v15-courier-contrebandier-crawler	Courier / contrebandier Crawler	1.1 PNJ Réalité	Crawlers		1	283	Le courier vit de ce qui doit arriver à destination sans passer par le chemin officiel : personnes, données, médicaments, pièces ou objets trop sensibles. Il n'est pas nécessairement criminel, mais il maîtrise itinéraires secondaires, contrôles, horaires et improvisation logistique.
47	bestiaire-v15-cultiste-arme	Cultiste armé	1.1 PNJ Réalité	Cultistes et fanatiques		1	329	Une grande partie des cultistes n'a aucun pouvoir. Ils surveillent, recrutent, cachent, enlèvent, menacent et tirent avec des armes parfaitement ordinaires. Leur danger vient de leur conviction, de leur organisation et du fait qu'ils savent souvent exactement ce qu'ils protègent alors que les PJ ne le découvrent qu'en arrivant.
48	bestiaire-v15-garde-fanatique	Garde fanatique	1.1 PNJ Réalité	Cultistes et fanatiques		1	341	Le garde fanatique protège un lieu, une personne ou un objet que sa doctrine place au-dessus de sa propre sécurité. Il reste humain et vulnérable, mais il est plus difficile à disperser par la peur ou l'intimidation ordinaire et peut tenir une position assez longtemps pour permettre à quelque chose de bien pire de se produire derrière lui.
49	bestiaire-v15-neocroise-de-l-auc	Néocroisé de l’AUC	1.1 PNJ Réalité	Église armée et AUC		1	354	L'Assemblée des Néocroisés rassemble des volontaires venus de nombreux horizons après les appels à défendre les communautés chrétiennes. Le niveau varie énormément : ce profil représente un membre réellement formé et intégré à une unité, pas un fidèle armé improvisé. Il relève de l'armée de la Chrétienté Unifiée, pas des trois ordres chasseurs secrets.
50	bestiaire-v15-neo-templier-de-l-auc	Néo-Templier de l’AUC	1.1 PNJ Réalité	Église armée et AUC		1	398	Le Bestiaire utilise « Néo-Templier » pour les combattants modernes de l'AUC qui revendiquent explicitement l'héritage des Templiers et des anciens ordres militaires chrétiens. Ce n'est pas l'un des trois ordres chasseurs secrets : par défaut, le profil est entièrement de Réalité. Il représente une troupe sélectionnée, disciplinée et lourdement entraînée au combat rapproché comme à l'arme à feu.
51	bestiaire-v15-myrophore-de-l-auc	Myrophore de l’AUC	1.1 PNJ Réalité	Église armée et AUC		1	276	L'Ordre des Myrophores est un ordre guerrier issu d'un héritage orthodoxe et ne comprend que des femmes. Dans l'AUC, ses combattantes forment une tradition militaire propre, façonnée par la discipline religieuse et la protection des lieux et personnes considérés comme sacrés.
52	bestiaire-v15-garde-suisse-pontifical	Garde suisse pontifical	1.1 PNJ Réalité	Église armée et AUC		1	381	La garde pontificale moderne n'est plus une poignée cérémonielle : ses effectifs, son entraînement et son équipement ont considérablement augmenté. Elle est mieux équipée que la majorité des corporations de sécurité, et certains officiers disposent de Sehdiacraft sur mesure. Le garde de ligne présenté ici est une élite, sans reprendre les particularités uniques de ces officiers.
53	bestiaire-v15-garde-ecossais-de-la-couronne-pontificale	Garde écossais de la couronne pontificale	1.1 PNJ Réalité	Église armée et AUC		1	303	Issue de l'ancienne garde royale britannique, la garde écossaise a refusé de se fondre dans la garde suisse et sert désormais la couronne pontificale. Elle se spécialise notamment dans la défense des cathédrales et des grandes églises : des bâtiments complexes, symboliques et souvent remplis de civils.
54	bestiaire-v15-garde-cardinalice	Garde cardinalice	1.1 PNJ Réalité	Église armée et AUC		1	331	Chaque Primat entretient sa propre garde cardinalice sur le modèle de la garde pontificale. Elles sont moins homogènes entre continents, mais recrutent dans des viviers de vétérans particulièrement endurcis. Le profil représente une moyenne d'élite ; le style, l'armement et les traditions de chaque garde peuvent varier fortement.
55	bestiaire-v15-partisan-du-djyhad	Partisan du Djyhad	1.1 PNJ Réalité	Autres réseaux religieux		1	360	Le « Djyhad » désigne ici un courant armé musulman fictif né des crises et organisé autour de la défense de certaines communautés, convois et lieux de culte. Ses partisans entraînés appartiennent à cette organisation précise : ils ne représentent ni l'islam en général ni les fidèles musulmans ordinaires, dont les vies et institutions sont bien plus diverses.
56	bestiaire-v15-defenseur-du-grand-architecte	Défenseur du Grand Architecte	1.1 PNJ Réalité	Autres réseaux religieux		1	315	Le courant du Grand Architecte voit augmentation et cybernétique comme des instruments permettant à l'Humanité de dépasser les limites de la chair. Certains centres, laboratoires confessionnels et communautés technophiles emploient donc des défenseurs à l'aise avec les implants, les réseaux et la sécurité moderne.
57	bestiaire-v15-volontaire-de-protection-confessionnelle	Volontaire de protection confessionnelle	1.1 PNJ Réalité	Autres réseaux religieux		1	334	Mosquées, synagogues, gurdwaras, temples, églises et associations spirituelles peuvent entretenir leur propre sécurité communautaire sans constituer une armée. Ce profil représente un volontaire ou salarié correctement formé, chargé de filtrer un accès, protéger une cérémonie et faire gagner du temps jusqu'à l'arrivée des autorités.
58	bestiaire-v15-secouriste-logisticien-confessionnel	Secouriste / logisticien confessionnel	1.1 PNJ Réalité	Autres réseaux religieux		1	331	Une grande partie de la puissance retrouvée des religions vient de leurs réseaux d'entraide : dispensaires, repas, hébergement, transport, collecte et accueil des déplacés. Le logisticien confessionnel peut être médecin, coordinateur ou responsable associatif ; il est utile précisément parce qu'il n'est pas un combattant de plus.
59	bestiaire-v15-courtier-shaediri	Courtier Shaediri	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Réseau Shaediri — Los Demonos	1	227	Intermédiaire du marché de Los Demonos, le Courtier Shaediri vaut surtout par son carnet de dettes : il sait qui possède une cellule, qui adapte une arme Thalsios et quel service vaut réellement trois points de crédit Shaediri.
60	bestiaire-v15-garde-de-marche-shaediri	Garde de marché Shaediri	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Réseau Shaediri — Los Demonos	1	245	Sécurité contractuelle des zones de commerce xéno, le Garde Shaediri peut appartenir à plusieurs espèces. Ses traits biologiques doivent suivre son peuple réel ; le bloc décrit avant tout sa fonction, son équipement et sa doctrine de protection.
61	bestiaire-v15-technicien-recuperateur-shaediri	Technicien-récupérateur Shaediri	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Réseau Shaediri — Los Demonos	1	251	Les ateliers Shaediri maintiennent des technologies incompatibles entre elles. Le technicien ne comprend pas nécessairement toute la science d’un objet ; il sait surtout le diagnostiquer, l’alimenter, l’adapter et reconnaître ce qui risque d’exploser.
62	bestiaire-v15-extracteur-shaediri	Extracteur Shaediri	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Réseau Shaediri — Los Demonos	1	214	L’Extracteur est chargé de faire sortir une personne, une cargaison ou un objet d’un quartier avant que le contrat adverse ne se referme. Ce n’est pas un soldat de ligne : il gagne en survivant avec la marchandise.
63	bestiaire-v15-intermediaire-feeshri	Intermédiaire Feeshri	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Filière Feeshri	1	237	L’Intermédiaire Feeshri manipule contrats et dispositifs de la filière sans représenter à lui seul tout le réseau. Un véritable talent psychique lui permet de tirer parti d’un Résonateur de volonté et de sécuriser les échanges sensibles.
64	bestiaire-v15-garde-feeshri-au-n-ud-bleu	Garde Feeshri au Nœud bleu	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Filière Feeshri	1	240	Le Garde Feeshri protège les transactions de très haut niveau. Entraînement physique, défense occulte et carabine Nœud bleu lui permettent d’amplifier une intrusion mentale déjà maîtrisée plutôt que de compter sur la seule puissance de feu.
65	bestiaire-v15-operateur-thalsios	Opérateur Thalsios	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Thalsios	1	239	Un Opérateur Thalsios adulte est aussi à l’aise dans de nombreux environnements terrestres qu’aquatiques. Sans être un combattant d’élite, sa physiologie supporte des conditions qui imposeraient déjà une logistique spécialisée à un Humain.
66	bestiaire-v15-garde-de-communaute-thalsios	Garde de communauté Thalsios	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Thalsios	1	223	Les communautés thalsios disposent de gardes capables d’exploiter une physiologie dense et une forte résistance mentale. L’Atomus leur permet d’adapter le tir à la distance tout en tenant des accès terrestres ou aquatiques.
67	bestiaire-v15-marine-thalsios-hydro-atomus	Marine Thalsios Hydro-Atomus	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Thalsios	1	235	Le Marine Thalsios est équipé pour combattre dans l’eau et autour des structures immergées. Son Atomus reçoit un module Hydro adapté au milieu, tandis que sa mobilité amphibie lui permet de défendre des coques, ports et habitats noyés.
68	bestiaire-v15-pisteur-mo-sen	Pisteur Mo’sen	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Mo’sens	1	236	Le Pisteur Mo’sen exploite cuirasse naturelle, griffes, dentition et thermovision pour suivre une cible dans des environnements difficiles. Son rôle associe reconnaissance, survie et combat rapproché plutôt que simple poursuite humaine.
69	bestiaire-v15-mercenaire-mo-sen-trius	Mercenaire Mo’sen Trius	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Mo’sens	1	196	Le Mercenaire Mo’sen emploie un Trius conçu pour sa morphologie et profite de ses poussées hormonales lors des échanges courts. Il reste un combattant professionnel avant d’être une brute animale.
70	bestiaire-v15-chasseur-de-prime-mo-sen	Chasseur de prime Mo’sen	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Mo’sens	1	218	Le Chasseur de prime Mo’sen privilégie la capture vivante : encerclement, lecture thermique et armement EMP lui permettent de neutraliser une cible avant qu’elle ne puisse disparaître ou détruire ce qui fait sa valeur.
71	bestiaire-v15-sniper-serys	Sniper Sérys	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Sérys	1	266	Les Sérys sont rares en Californie : humanoïdes elfoïdes rapides, intelligents et souvent doués psychiquement, ils se rencontrent notamment comme mercenaires, snipers, chasseurs de prime, espions ou saboteurs. Le sniper associe patience, mobilité et armement plasma.
72	bestiaire-v15-saboteur-serys	Saboteur Sérys	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Sérys	1	241	Le Saboteur Sérys associe mobilité, perception et dons psychiques pour pénétrer une zone, identifier une faiblesse et disparaître avant la réaction adverse. Il évite les affrontements prolongés lorsque l’objectif peut être atteint autrement.
73	bestiaire-v15-mercenaire-ad-rak	Mercenaire Ad’rak	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Ad’rak	1	258	Un Ad’rak libre travaillant dans la sécurité, la défense ou les groupes paramilitaires est déjà une présence physique hors échelle humaine. Même sans équipement exceptionnel, son gabarit lui permet des actions de force inaccessibles à la plupart des Humains.
74	bestiaire-v15-veteran-lourd-ad-rak	Vétéran lourd Ad’rak	1.2 PNJ Vérité	Populations extrales et réseaux xéno	Ad’rak	1	236	Le Vétéran lourd est un ancien sujet de guerre ou mercenaire très expérimenté. Il combine la masse Ad’rak à une protection lourde adaptée, sans pour autant représenter les capacités maximales des formations militaires les plus avancées.
75	bestiaire-v15-drone-de-reconnaissance-aidh-ancien	Drone de reconnaissance AIDH ancien	1.2 PNJ Vérité	Menaces artificielles	Reliquats AIDH	1	255	Ce châssis de reconnaissance de génération dépassée peut subsister dans un dépôt, accompagner une ancienne cellule ou avoir été revendu après déclassement. Ses capteurs restent excellents sans lui permettre de voir automatiquement au-delà de l’Hologramme.
76	bestiaire-v15-drone-de-combat-aidh-declassifie	Drone de combat AIDH déclassifié	1.2 PNJ Vérité	Menaces artificielles	Reliquats AIDH	1	188	Cette plateforme terrestre utilise des principes d’armement AIDH ancien. Sa doctrine est simple : couverture, acquisition, tir et déplacement ; elle n’improvise pas comme un soldat vivant.
