dataset	id	title	snippet
lore	lore-vampire-courts-ihuito-histoire	Ihuito Meztzi — fondation et cycle du sang	e vampiriques autre que la sienne sur les continents Américains. S’instaurant comme une force de la nature, il s’allia aux Kochtchei, notamment l’Ancienne pour qu’ils ne dénoncent toute concurrence, repoussant au nord les khinae non corrompus. Très tôt, l’Ancienne lui révéla comment utiliser ses pouvoirs de V’aagor afin d’emprisonner un Mageius, celui d’une Dive ancienne, une fille d’Ymir, Brimhild . Avec ce Mageius, ses dons de Khinae et les innombrables créatures dévorées, Quetzal s’imposa comme une divinité surpuissante aux yeux des mortels, chamboulant les croyances, loin d’être un vampire discret fuyant le regard des dieux ou même le soleil, il imposa sa vénération par-dessus la leur, écrasa les croyances humaines pour forger la base de celles précolombiennes, dont nombre de cultes liés au sang. La lutte des dieux contre son culte fut vaine, par son Mageius, Quet
lore	lore-vampire-courts-ihuito-structure	Ihuito Meztzi — K’uhul Ajaw et Ah’kin	rés dans des temples ou des souterrains oubliés et règnent sur une Maison vampirique dont tous les membres sont des gardiens, il n’est pas question de se mêler aux sociétés humaines chez ces maisons, ni même d’être sociables, elles cultivent des pouvoirs, des savoirs et gardent emprisonnés des vampires d’autres factions ou des entités immortelles, comme des Dives ou des Mages. Entre crypte profonde, temple des Ténèbres et prisons, les possessions des « Ah’kin » sont des lieux redoutés même par les K’Uhul. Outre ces fonctions, ils sont des prêtres avant d’être des héritiers, si jamais de mauvais augures venaient à leur apparaitre ils ont une autorité supérieures pour ce genre d’affaires, on a déjà vu un « K’uhul » se faire sacrifier toute sa maison pour un mauvais présage qu’avait vu un Ah’kin, derrière l’atrocité du geste, ce sacrifice restaura une partie de la puissa
lore	lore-grands-exiles-croix-emphyrra	La croix d’Emphyrra : La Fédération Elfique	ls sont la seconde communauté la plus représentée de la fédération. Délaissés et détestés par les autres exilés, ils se sont souvent fait harponner par les cultes des Fléaux. Afin de cultiver leur puissance magique ils ont souvent tissé des liens étroits avec ls Voyageurs et les Deimons. Le conseil des Anciens essaya de les intégrer, mais les liens avec les Dives et surtout les gorgones, les deimons, tout cela mena à ce que beaucoup d’elfes noirs ne restent assez réticents. Alliés aux Voyageurs, ils sont restés farouchement haineux des Mages et en ont tué autant que la Chasse Fantastique. L’idéologie de cette faction est de s’émanciper du corps physique pour que les membres de la fédérations ne se transcende par les Ombres en intégrant ces créatures. Ironiquement, ils rejoignent la vision de Motsognir, le nain et maitre des Duergars alors qu’ils sont ennemis.
lore	lore-grands-exiles-cercle-ecarlate	Le cercle Ecarlate	a marque des Daemons, l’âme est déjà loyale quand elle reçoit cette distinction et ne la reçoit pas de force, au contraire. A la cour de Belial, les seigneurs écarlates servant « l’esclave Nordrar » étaient de redoutables partisans de Belial qui assurèrent sa position face à des tentatives d’Alabor ou d’Abigor. Nordrar fut lancé sur les campagnes contre les Dives et assura une certaine diplomatie, grace à Belial qui négociait finement avec ses anciens ennemis. Hélas, Nordrar disparu subitement, tué par un fléau mineur, il fut ramené par une « Architecte » sur Gaerras, qui l’incarna en Ichogeru, un noble Kotsu. Cette mort ne changea rien pour les Dieux de la Terre, un serviteur disparu ne changeait rien, mais la disparition de Nordrar causa quelques soucis à ses héritiers. D’une part, son fils, Kain, cessa de grandir, alors que le prince avait un minimum été considéré,
lore	lore-grands-exiles-cercle-ecarlate	Le cercle Ecarlate	l n’intéressa pas longtemps les dieux, d’autre part, les Astharès devenaient nombreux, le sceau infernal était une méthode de réplication monstrueusement efficace et elle épuisait la magie du monde en prime, les astharès absorbant beaucoup d’énergie et en dépensant encore plus. Belial, néanmoins, honorable et sage, offrit aux astharès une des dimensions des Dives pour les contenir, hélas, la guerre contre les dives s’intensifia et les Astharès, vivant avec Dives, myrmidons et amazones, se retrouvèrent pris entre les deux camps. Après la guerre contre els Dives, les dieux fusionnèrent les dimensions de la Terre, privant les « Voyageurs » de leur magre de manœuvre, remettant les astharès sur Terre.
lore	lore-grands-exiles-cercle-ecarlate	Le cercle Ecarlate	les Astharès devenaient nombreux, le sceau infernal était une méthode de réplication monstrueusement efficace et elle épuisait la magie du monde en prime, les astharès absorbant beaucoup d’énergie et en dépensant encore plus. Belial, néanmoins, honorable et sage, offrit aux astharès une des dimensions des Dives pour les contenir, hélas, la guerre contre les dives s’intensifia et les Astharès, vivant avec Dives, myrmidons et amazones, se retrouvèrent pris entre les deux camps. Après la guerre contre els Dives, les dieux fusionnèrent les dimensions de la Terre, privant les « Voyageurs » de leur magre de manœuvre, remettant les astharès sur Terre.
lore	lore-grands-exiles-cercle-ecarlate	Le cercle Ecarlate	nal était une méthode de réplication monstrueusement efficace et elle épuisait la magie du monde en prime, les astharès absorbant beaucoup d’énergie et en dépensant encore plus. Belial, néanmoins, honorable et sage, offrit aux astharès une des dimensions des Dives pour les contenir, hélas, la guerre contre les dives s’intensifia et les Astharès, vivant avec Dives, myrmidons et amazones, se retrouvèrent pris entre les deux camps. Après la guerre contre els Dives, les dieux fusionnèrent les dimensions de la Terre, privant les « Voyageurs » de leur magre de manœuvre, remettant les astharès sur Terre.
lore	lore-grands-exiles-cercle-ecarlate	Le cercle Ecarlate	prime, les astharès absorbant beaucoup d’énergie et en dépensant encore plus. Belial, néanmoins, honorable et sage, offrit aux astharès une des dimensions des Dives pour les contenir, hélas, la guerre contre les dives s’intensifia et les Astharès, vivant avec Dives, myrmidons et amazones, se retrouvèrent pris entre les deux camps. Après la guerre contre els Dives, les dieux fusionnèrent les dimensions de la Terre, privant les « Voyageurs » de leur magre de manœuvre, remettant les astharès sur Terre.
lore	lore-grands-exiles-conseil-anciens	Le conseil des Anciens	 l’imaginait, forcément, ceux restés sur Terre ayant survécu au cataclisme de l’engloutissement de leur continent, ils haïssaient les ressortissants d’Aèr au contraire des Atlantes émligrés sur Aèr, qui éprouvaient une profonde reconnaissancepour leur monde d’adoption. L’autre grande menace sur Terre, la pire, possiblement, était la factio des Mages, si les Dives et autres voyageurs, les utilisateurs de la magie, étaient interdimentionnels, les mages, avec leur corps humains restaient dans le plan principal ad vitam, les magiciens d’Aèr se trouvant rapidement à devoir lutter pour pouvoir utiliser de la magie la plus usuelle, s’éclairer, chauffer l’eau, la médecine, beaucoup de choses de bases venait de la magie que les Mages cherchèrent à interdire aux elfes et autres exilés. Epidémies, famines, ce fut un âge très sombre quand les loges magiques qe formèrent pour acap
lore	lore-grands-exiles-conseil-anciens	Le conseil des Anciens	 famines, ce fut un âge très sombre quand les loges magiques qe formèrent pour acaparer la magie à elles, déployant des légions de sorciers pour étrangler les autres utilisateurs. L’Archimage azménorienne, Dalametria créa le « poison des Mageius », plus grande archimages des exilés, elle fut aidée par une certaine R’gahanath, mais l’Archimage Anahita, une « dive », tua Dalametria pour l’empêcher de corrompre les mageius mais aussi les attributs divins, repoussant R’gahanath avant qu’elle ne corrompe les exilés que protégeait l’archimage azménorienne. La guerre de la Magie s’en suivit, jusqu’à ce que Sil’elaith ne montre des trésors de diplomatie pour que ses protégés ne trouvent un compromis pour leur survie. Désormais, les exilés comptent de moins en moins sur la magie, elle reste un plus, mais ne structure plus leur vie, ne leur permettant pas de survivre sur Terre 
lore	lore-aseryn-temples-temple-veritable	Le Temple Veritable	Nalykai Selerias, un noble aventurier outrepassa les ordres royaux et alla conquérir la terre d’Angrboda, une reine-dive pour instaurer la colonie d’Hyperborée. Ironiquement, au nom de Tyrkias, il reçut la flamme sacrée de Belial pour soumettre les dives et amazones locaux, loyal à son roi mais pas au Temple du Créateur, Hyperborée fut fondé comme duché Atlante sur cette dichotomie, cette dualité dans la loyauté, totale au roi, nulle envers le Temple légitimant son autorité.
lore	lore-aseryn-temples-temple-veritable	Le Temple Veritable	Nalykai Selerias, un noble aventurier outrepassa les ordres royaux et alla conquérir la terre d’Angrboda, une reine-dive pour instaurer la colonie d’Hyperborée. Ironiquement, au nom de Tyrkias, il reçut la flamme sacrée de Belial pour soumettre les dives et amazones locaux, loyal à son roi mais pas au Temple du Créateur, Hyperborée fut fondé comme duché Atlante sur cette dichotomie, cette dualité dans la loyauté, totale au roi, nulle envers le Temple légitimant son autorité.
lore	lore-aseryn-temples-aseryns-lignees	Point sur les lignées	Avec sa foudre, elle chassa les dives de l’île, ces titans pétris de magie, elle carbonisa les abominations des fléaux et défia le fléau Thul quand il débarqua, échouant à le tuer mais lui plantant une lame de stroethil, le « Paratonnerre de Serathè », lui permettant de sentir Thul et de le foudroyer qu’importe où il était dans le monde, seules les profondeurs des abysses le protégeant.
lore	lore-aseryn-temples-aseryns-lignees	Point sur les lignées	Après ses aventures, Serathè enterra Ergaorn et revint à sa tâche sur l’île de l’Atlantide, elle chassa Abigor et Ymir, ne voulant pas que la petite créature spirituelle n’altère son héritage ni que le grand dive n’asservisse les futurs aseryns, elle connaissait ses amis et leurs défauts.
lore	lore-vampire-courts-shi-histoire	Shì Hun Zhe — naissance de la Cour des anciens	Toutefois, Xinya se sachant plus faible que ses « fils », elle rusa afin de ne pas être broyée par l’un d’eux trop ambitieux, elle les orienta contre les Dives corrompus, afin qu’ils ne les libèrent puis ne les dévorent, les Archivampires « Hēi'àn zhīzǐ », ayant beau être des « fils de v’aagor » puissants, révéiller des entités aussi anciennes ne fut pas la meilleure de leurs idées. En quelques millénaires, tous enfants de V’aagor ert de Xinya furent presque anéantis,mais Xinya n’en avait pas fini, pendant que ses fils se faisaient anéantir, la sorcière complota avec les premiers Mages, qui s’allièrent aux vampires contre les Dives, récupérant ainsi les Mageius. D’u
lore	lore-vampire-courts-shi-histoire	Shì Hun Zhe — naissance de la Cour des anciens	es « fils de v’aagor » puissants, révéiller des entités aussi anciennes ne fut pas la meilleure de leurs idées. En quelques millénaires, tous enfants de V’aagor ert de Xinya furent presque anéantis,mais Xinya n’en avait pas fini, pendant que ses fils se faisaient anéantir, la sorcière complota avec les premiers Mages, qui s’allièrent aux vampires contre les Dives, récupérant ainsi les Mageius. D’une main de maitre, elle organisa le masacre de ses propres engeances puis les vengea par les Mages, cependant, Ravana, fils d’Ymir, un des plus puissants Dives, renversa la guerre par ses immenses pouvoir. Le « roi de l’est » dévorant beaucoup de trop de Mages. C’est l’amie de Xinya, Anahita, l’Archimage qui arrêta le Dive royal, le scellant pour stopper net tous les combats.
lore	lore-vampire-courts-shi-histoire	Shì Hun Zhe — naissance de la Cour des anciens	tis,mais Xinya n’en avait pas fini, pendant que ses fils se faisaient anéantir, la sorcière complota avec les premiers Mages, qui s’allièrent aux vampires contre les Dives, récupérant ainsi les Mageius. D’une main de maitre, elle organisa le masacre de ses propres engeances puis les vengea par les Mages, cependant, Ravana, fils d’Ymir, un des plus puissants Dives, renversa la guerre par ses immenses pouvoir. Le « roi de l’est » dévorant beaucoup de trop de Mages. C’est l’amie de Xinya, Anahita, l’Archimage qui arrêta le Dive royal, le scellant pour stopper net tous les combats.
lore	lore-vampire-courts-shi-histoire	Shì Hun Zhe — naissance de la Cour des anciens	Dives, récupérant ainsi les Mageius. D’une main de maitre, elle organisa le masacre de ses propres engeances puis les vengea par les Mages, cependant, Ravana, fils d’Ymir, un des plus puissants Dives, renversa la guerre par ses immenses pouvoir. Le « roi de l’est » dévorant beaucoup de trop de Mages. C’est l’amie de Xinya, Anahita, l’Archimage qui arrêta le Dive royal, le scellant pour stopper net tous les combats.
lore	lore-vampire-courts-shi-histoire	Shì Hun Zhe — naissance de la Cour des anciens	Pendant qu’Anahita réglait le soucis des dives, Xinya récupéra l’essence de ses propre fils pour s’en nourrir, devenant un fragment de V’aagor puissant, « Xiny’Aagor » et s’endormit.
lore	lore-daemon-temples-temples-fantomes	Temples fantômes	Les dieux anciens pendant leurs guerres entre eux et les Fléaux, face aux Dives puis face à la déesse renégate ont été régulièrement en compétition entre eux également. Tous ces conflits ont mené à des dieux « déchus ».
pnj	pnj-072-pere-raphael	père Raphael	Il fit face à une des plus anciennes espèces de la Terre, des « Dives », (aussi appelés titans, ogres, géants ou ashuras selon les cultures)
pnj	pnj-072-pere-raphael	père Raphael	Ce que la légende ne dit pas de Beowulf, c’est qu’il avait été choisi par un dragon, Shorolth, portant l’armure de chevalier dragon et c’est cette armure qui le protégea si bien de Grendel et de sa mère, la reine Dive du nord. Hélas, la reine l’emporta contrairement à ce qu’en dit la légende, elle lui arracha le cœur et lui plaça le Mageius de Grendel pour le faire renaitre en Beowulf.
